customer_id,name,gender,age,job_type,income,expenses,credit_history,existing_loans,financing_type,asset_type,asset_value,down_payment,installment_period
24,Mohammed,Male,27,Self-employed,16607,9083,Good,3535,Murabaha,Car,388173,49975,84
25,Ali,Male,48,Government,10313,1485,Average,4521,Ijarah,Car,333359,27670,84
26,Sarah,Female,27,Self-employed,20802,14113,Good,18968,Ijarah,House,138998,24585,180
27,Sarah,Male,25,Government,12642,2362,Good,38974,Murabaha,Car,404288,33473,48
28,Mohammed,Male,38,Private,3371,4364,Good,0,Murabaha,Equipment,464289,17439,24
29,Sarah,Female,27,Self-employed,6287,11857,Average,0,Ijarah,Car,309712,45794,60
30,Khadijah,Female,34,Private,13243,7494,Good,2626,Murabaha,Equipment,41629,13555,24
31,Ali,Female,47,Government,4746,12460,Average,0,Murabaha,Car,258705,14402,36
32,Mohammed,Male,30,Self-employed,6338,9697,Good,0,Murabaha,Car,133359,18656,60
33,Ali,Male,55,Private,4071,12331,Good,0,Ijarah,Equipment,58531,31010,12
34,Ahmed,Female,49,Private,21986,9249,Good,0,Ijarah,House,342691,15215,180
35,Ali,Male,44,Government,6537,2791,Average,0,Ijarah,Car,36469,10039,60
36,Ali,Female,40,Self-employed,18794,5149,Average,0,Ijarah,Equipment,250638,16151,36
37,Ahmed,Female,28,Government,5327,12869,Good,42814,Ijarah,Equipment,150606,3744,36
38,Mohammed,Male,30,Self-employed,7927,14454,Poor,32086,Ijarah,House,85194,4829,120
39,Ali,Female,32,Private,4390,9778,Good,0,Ijarah,Equipment,422013,42950,12
40,Fatimah,Female,25,Government,11728,1167,Average,9922,Murabaha,Equipment,420816,8687,24
41,Ali,Female,54,Self-employed,15427,6851,Good,37546,Murabaha,Car,473472,5768,84
42,Mohammed,Male,36,Government,16172,9224,Average,0,Ijarah,Equipment,144048,9532,60
43,Mariam,Female,29,Self-employed,4378,5301,Good,0,Ijarah,Equipment,202087,47425,60
44,Sarah,Female,27,Private,5666,10836,Good,14487,Murabaha,Equipment,441961,19800,12
45,Aisha,Female,28,Self-employed,18206,9596,Good,0,Murabaha,Equipment,413462,37566,60
46,Ahmed,Female,29,Private,22047,3843,Good,25139,Murabaha,Equipment,195708,34125,60
47,Sarah,Female,37,Self-employed,11589,14133,Poor,0,Ijarah,House,485312,41684,300
48,Mohammed,Female,34,Private,11409,4317,Good,0,Ijarah,Car,40779,31204,60
49,Khadijah,Female,43,Self-employed,13232,12051,Good,0,Ijarah,House,130725,10988,180
50,Aisha,Male,39,Government,17829,2123,Good,0,Ijarah,Car,348937,43182,48
51,Sarah,Male,43,Private,13717,9401,Good,0,Ijarah,House,102526,24369,180
52,Ali,Female,22,Government,11476,1801,Good,16650,Ijarah,House,485570,36055,180
53,Aisha,Male,32,Government,11339,11823,Good,0,Murabaha,Car,449831,44853,48
54,Ali,Male,21,Self-employed,21869,1784,Good,9127,Murabaha,House,43396,37750,300
55,Ahmed,Female,24,Government,18221,13872,Average,0,Murabaha,Car,313697,7366,36
56,Ali,Male,39,Private,11502,4303,Good,0,Ijarah,House,98622,3354,120
57,Aisha,Female,41,Government,4900,3579,Average,44535,Ijarah,House,54018,10454,300
58,Fatimah,Female,45,Private,4568,8022,Good,0,Murabaha,Equipment,290553,10349,36
59,Fatimah,Female,47,Government,18585,12886,Good,22765,Murabaha,House,394549,49256,120
60,Mariam,Female,23,Government,24508,6659,Good,0,Ijarah,Equipment,488311,12364,24
61,Sarah,Female,58,Private,14817,13237,Average,38360,Ijarah,Equipment,63353,22848,36
62,Mohammed,Male,52,Government,23897,4374,Good,0,Ijarah,Equipment,267103,9736,36
63,Mariam,Female,45,Government,3552,3772,Average,0,Ijarah,Car,496965,39498,60
64,Ahmed,Male,45,Private,8409,6217,Poor,0,Ijarah,House,281353,21095,300
65,Khadijah,Female,54,Private,6100,7470,Good,0,Murabaha,Equipment,409467,23847,48
66,Mariam,Female,29,Government,11174,13567,Good,39956,Ijarah,House,436676,3273,120
67,Sarah,Female,47,Private,7603,4174,Good,27616,Murabaha,Car,356959,10099,84
68,Mohammed,Male,23,Self-employed,10891,6212,Average,0,Murabaha,Equipment,346111,41904,60
69,Ahmed,Female,23,Self-employed,18425,12827,Poor,37019,Murabaha,House,480329,31897,120
70,Aisha,Female,32,Private,15195,14319,Average,11888,Ijarah,Car,41461,43474,60
71,Ahmed,Female,26,Private,14036,14112,Average,0,Murabaha,Equipment,64146,42931,24
72,Aisha,Female,21,Self-employed,10103,1233,Good,21018,Ijarah,Car,119684,23540,60
73,Sarah,Male,57,Government,7439,3841,Good,0,Murabaha,Equipment,391843,25418,36
74,Mohammed,Female,52,Private,7809,8405,Good,35298,Murabaha,House,331707,7099,180
75,Mariam,Male,49,Government,6051,7756,Average,0,Murabaha,Car,423952,17851,84
76,Mohammed,Female,42,Government,7397,12442,Good,0,Murabaha,House,425626,19575,300
77,Ali,Male,44,Government,20345,10955,Average,19427,Murabaha,Equipment,67250,22209,24
78,Khadijah,Male,31,Government,4307,6690,Good,37029,Ijarah,Equipment,326869,27847,60
79,Fatimah,Female,49,Self-employed,14927,11891,Good,0,Ijarah,Car,253349,13591,60
80,Ali,Female,28,Private,15990,7818,Good,0,Murabaha,House,372661,41334,240
81,Ahmed,Male,39,Self-employed,5932,7935,Average,17545,Ijarah,Car,491109,40803,36
82,Khadijah,Female,28,Private,15949,1217,Good,10715,Murabaha,House,379196,15595,300
83,Khadijah,Female,52,Self-employed,10777,6236,Good,0,Ijarah,House,136823,31455,240
84,Mohammed,Female,34,Private,10770,13721,Average,4907,Murabaha,Car,142623,12336,36
85,Khadijah,Male,38,Government,9074,2246,Good,0,Ijarah,House,113830,49490,180
86,Sarah,Female,54,Government,14743,10511,Poor,0,Murabaha,Equipment,124234,43600,24
87,Khadijah,Female,52,Private,8254,5631,Average,0,Ijarah,Equipment,318869,19309,60
88,Ahmed,Female,38,Self-employed,18726,9387,Average,0,Murabaha,House,257714,27752,240
89,Sarah,Male,57,Private,13366,5824,Good,0,Ijarah,House,145223,39264,180
90,Sarah,Female,22,Private,18973,7898,Average,2703,Ijarah,Car,101946,20017,48
91,Ali,Male,27,Government,17863,13816,Average,16532,Ijarah,House,373337,24611,300
92,Khadijah,Female,22,Government,6995,14539,Good,48710,Ijarah,House,469964,42864,240
93,Mohammed,Male,57,Private,18045,6790,Good,33159,Ijarah,House,236747,29739,180
94,Aisha,Female,42,Private,18869,8356,Good,0,Ijarah,House,61932,24335,120
95,Ali,Female,50,Government,21882,12558,Good,0,Murabaha,Car,392606,14250,36
96,Mohammed,Male,36,Self-employed,23783,7927,Good,22457,Ijarah,Car,31778,43657,84
97,Khadijah,Male,47,Government,16381,7673,Average,38786,Ijarah,Car,306019,23833,72
98,Ali,Male,21,Government,4439,6790,Good,33148,Ijarah,House,254228,28230,240
99,Khadijah,Female,43,Government,11186,4397,Good,0,Ijarah,House,136931,49557,300
100,Ahmed,Female,42,Government,3282,7854,Good,0,Ijarah,Car,450366,15725,48
101,Ali,Female,50,Private,8305,8924,Good,49278,Murabaha,Car,75094,18705,60
102,Mohammed,Female,22,Government,7759,10297,Average,0,Ijarah,Car,65694,44147,60
103,Ahmed,Male,40,Government,10268,8146,Good,0,Murabaha,Equipment,128124,27517,24
104,Fatimah,Female,25,Government,22250,10665,Good,0,Murabaha,House,43144,40788,180
105,Mohammed,Female,58,Self-employed,22328,8693,Poor,7476,Ijarah,Equipment,496381,38212,24
106,Aisha,Female,46,Self-employed,13830,8456,Average,0,Ijarah,Equipment,260150,1230,24
107,Mariam,Female,28,Private,3517,11890,Good,2286,Ijarah,Equipment,366271,1454,36
108,Khadijah,Female,59,Private,23036,5354,Good,37776,Murabaha,Car,146834,43938,36
109,Mohammed,Female,49,Self-employed,14664,13045,Good,8835,Ijarah,Car,138881,41085,72
110,Fatimah,Female,36,Self-employed,9479,2746,Good,29982,Ijarah,Car,239723,1823,60
111,Mohammed,Male,51,Government,22825,10963,Good,1077,Ijarah,House,234822,28911,240
112,Ahmed,Female,55,Government,20109,3658,Good,27721,Murabaha,Equipment,421151,47532,12
113,Sarah,Female,42,Self-employed,11974,8350,Good,0,Murabaha,House,470951,5383,300
114,Mariam,Female,37,Self-employed,17110,5753,Good,0,Ijarah,Equipment,131388,31003,60
115,Mohammed,Female,23,Private,4774,4421,Good,5842,Ijarah,Car,174256,47558,72
116,Ali,Male,39,Private,4328,6648,Good,0,Murabaha,Equipment,276118,10539,36
117,Aisha,Male,26,Government,8145,2899,Good,16286,Ijarah,Car,147375,43548,36
118,Fatimah,Male,53,Private,3895,7351,Good,10309,Murabaha,House,376586,23919,180
119,Mohammed,Male,39,Government,22298,7278,Good,0,Murabaha,Equipment,411726,2028,36
120,Fatimah,Male,43,Self-employed,3025,11725,Average,0,Ijarah,House,21135,4731,120
121,Sarah,Male,23,Self-employed,20146,9454,Good,45290,Ijarah,House,484960,2592,300
122,Ahmed,Female,40,Self-employed,17121,3423,Average,0,Ijarah,Car,490097,7108,60
123,Ali,Male,28,Government,11750,2026,Average,0,Murabaha,Car,138813,37756,48
124,Khadijah,Male,32,Self-employed,10555,1416,Good,0,Murabaha,House,385229,21910,120
125,Mohammed,Female,40,Government,24986,7070,Average,28791,Murabaha,Car,408504,19229,36
126,Ahmed,Male,56,Self-employed,9074,1867,Average,0,Murabaha,House,355338,31009,120
127,Mariam,Female,44,Private,17423,13916,Average,0,Ijarah,Equipment,143738,25850,48
128,Fatimah,Female,27,Private,23662,10584,Good,0,Murabaha,House,263160,27593,240
129,Sarah,Male,27,Self-employed,15687,14796,Average,0,Murabaha,Car,22525,3341,36
130,Aisha,Female,58,Self-employed,14581,11755,Average,0,Ijarah,House,267286,44926,120
131,Fatimah,Male,27,Self-employed,24758,12895,Average,0,Ijarah,Car,295167,44330,84
132,Aisha,Male,59,Self-employed,11596,14391,Good,0,Murabaha,Car,181972,45444,84
133,Sarah,Female,23,Private,17663,4189,Average,9772,Murabaha,Equipment,160622,21091,24
134,Aisha,Female,50,Government,15756,11040,Good,1448,Ijarah,House,326558,6246,300
135,Sarah,Male,28,Government,9630,3191,Average,10629,Ijarah,Equipment,455962,4143,60
136,Ahmed,Female,41,Government,8546,10909,Average,0,Murabaha,Equipment,111631,48433,36
137,Mohammed,Female,43,Private,22407,5587,Good,39259,Murabaha,Car,303669,35502,36
138,Khadijah,Male,35,Government,6579,2634,Average,0,Ijarah,House,57153,2277,300
139,Mohammed,Male,59,Self-employed,20038,8173,Average,8655,Ijarah,Equipment,238860,5818,24
140,Mariam,Female,46,Government,3555,13888,Good,0,Murabaha,Equipment,229361,154,60
141,Mariam,Male,45,Government,20020,10801,Good,0,Murabaha,Equipment,435015,1340,24
142,Ali,Male,42,Self-employed,5717,7354,Average,0,Ijarah,House,217894,26257,180
143,Mohammed,Male,52,Government,3217,6082,Average,7087,Ijarah,House,197819,4901,120
144,Sarah,Male,37,Private,19750,4126,Good,0,Ijarah,House,40456,41889,180
145,Sarah,Male,23,Self-employed,15359,2447,Good,36744,Murabaha,Car,492852,20038,72
146,Ali,Male,52,Self-employed,24681,1294,Good,0,Murabaha,Equipment,311967,40757,24
147,Fatimah,Male,45,Private,17040,2700,Average,27525,Murabaha,House,169341,4351,180
148,Sarah,Female,34,Private,24924,4647,Good,0,Murabaha,Car,132278,49288,48
149,Ali,Male,43,Government,11674,4885,Good,13433,Murabaha,Equipment,83565,20,60
150,Sarah,Female,29,Government,12741,7815,Good,0,Ijarah,House,75782,22312,180
151,Khadijah,Female,22,Private,17407,1616,Average,0,Ijarah,House,401463,8142,120
152,Sarah,Female,52,Private,18937,2195,Poor,0,Murabaha,Equipment,45157,24327,12
153,Ahmed,Male,42,Government,10488,13463,Good,0,Murabaha,Car,115669,1431,72
154,Ali,Male,43,Government,9815,7399,Good,3314,Murabaha,Car,193851,4812,72
155,Aisha,Female,38,Self-employed,19955,8952,Poor,25651,Murabaha,Car,49905,35331,60
156,Mariam,Male,42,Private,18451,4459,Good,0,Ijarah,Car,295346,31333,36
157,Mohammed,Female,26,Self-employed,19734,4080,Good,48167,Ijarah,House,224456,21394,180
158,Ali,Male,21,Self-employed,16150,12509,Good,0,Murabaha,House,486443,17693,180
159,Fatimah,Male,24,Private,16089,13318,Good,10418,Ijarah,Car,384304,9029,84
160,Sarah,Female,33,Private,4133,6735,Average,0,Ijarah,House,59718,48784,240
161,Ali,Female,39,Government,17772,13652,Good,0,Ijarah,Equipment,436561,24140,24
162,Khadijah,Female,26,Private,4859,8020,Good,0,Murabaha,Car,325176,25234,36
163,Ali,Male,41,Government,11149,2019,Good,0,Ijarah,Equipment,368223,34334,24
164,Khadijah,Female,36,Government,17831,4227,Good,0,Ijarah,House,233703,3379,120
165,Mariam,Male,30,Self-employed,14536,14182,Good,0,Murabaha,Car,25653,47373,48
166,Mariam,Male,23,Private,9935,9709,Good,9781,Ijarah,Car,415656,23336,60
167,Sarah,Male,59,Private,20307,7343,Average,0,Murabaha,House,443766,41837,300
168,Mohammed,Female,47,Self-employed,24209,8759,Good,0,Ijarah,Equipment,423234,46249,12
169,Sarah,Female,45,Government,13394,3790,Good,0,Murabaha,Car,260377,43023,36
170,Fatimah,Female,44,Self-employed,10782,9156,Good,0,Murabaha,Car,22679,41663,36
171,Ahmed,Male,37,Self-employed,18921,10083,Good,0,Murabaha,House,303657,7221,120
172,Mohammed,Male,32,Self-employed,13518,4357,Good,49483,Murabaha,Car,426351,16151,72
173,Mohammed,Female,25,Government,6529,3605,Poor,0,Murabaha,House,397205,12238,240
174,Mariam,Male,47,Government,5158,4670,Average,0,Ijarah,House,43299,4429,240
175,Ahmed,Male,55,Government,11558,14698,Good,35721,Ijarah,House,290387,8338,240
176,Ali,Female,49,Government,9256,12078,Good,0,Ijarah,Equipment,216566,5637,12
177,Sarah,Female,41,Government,21259,12495,Average,0,Ijarah,House,327420,6594,120
178,Ali,Female,21,Government,13310,2474,Poor,0,Murabaha,Car,370445,48368,72
179,Ali,Male,35,Self-employed,11740,11991,Good,29239,Murabaha,Car,144326,16553,84
180,Sarah,Male,37,Self-employed,23215,12604,Good,10540,Murabaha,Car,445200,34677,36
181,Fatimah,Male,27,Self-employed,12780,10363,Average,42290,Ijarah,Equipment,280171,11636,12
182,Mohammed,Male,34,Private,4588,12567,Poor,0,Ijarah,Car,58541,32938,72
183,Khadijah,Male,23,Self-employed,17063,2223,Average,0,Murabaha,Car,119297,14569,84
184,Ahmed,Female,57,Private,10885,8424,Good,0,Murabaha,Equipment,254459,43359,24
185,Mohammed,Male,52,Government,6857,9097,Good,0,Murabaha,Equipment,182854,40152,60
186,Ali,Male,27,Government,6218,2996,Poor,41516,Murabaha,Car,197041,13155,84
187,Ahmed,Male,35,Private,16010,13485,Poor,27385,Ijarah,Car,112585,39735,60
188,Khadijah,Female,42,Private,12483,12404,Average,24126,Ijarah,House,494739,32799,240
189,Mohammed,Female,51,Private,6295,5590,Good,0,Ijarah,House,68464,47010,300
190,Mohammed,Female,21,Private,16388,1862,Average,14941,Ijarah,Equipment,463318,8484,48
191,Fatimah,Male,57,Self-employed,9387,8279,Good,0,Ijarah,Car,199601,18234,48
192,Mohammed,Female,23,Private,5236,9644,Good,0,Ijarah,Car,314909,34281,84
193,Mohammed,Female,55,Self-employed,5634,5513,Average,0,Murabaha,House,347853,20472,240
194,Khadijah,Female,44,Government,23091,3034,Good,0,Murabaha,Equipment,261346,39197,36
195,Khadijah,Male,24,Private,13901,11765,Good,0,Ijarah,House,428765,21158,180
196,Ahmed,Female,35,Government,14257,10755,Good,0,Murabaha,Car,236029,8700,60
197,Ali,Male,39,Government,20989,4497,Average,0,Ijarah,Car,116424,30847,84
198,Khadijah,Male,22,Private,4288,11902,Average,0,Murabaha,House,444094,30425,240
199,Ahmed,Female,26,Self-employed,13278,8230,Average,0,Ijarah,Equipment,438003,10326,48
200,Mohammed,Male,37,Government,11603,14816,Average,0,Ijarah,House,81002,4331,180
201,Mariam,Female,34,Government,12822,2544,Average,0,Ijarah,Car,432884,5691,60
202,Ahmed,Male,48,Government,23916,1212,Poor,0,Murabaha,Car,151059,7223,84
203,Mariam,Female,24,Private,3255,10090,Poor,0,Murabaha,Equipment,375352,45804,60
204,Ahmed,Female,50,Self-employed,19566,14651,Good,0,Murabaha,Equipment,73189,10263,36
205,Ahmed,Female,46,Self-employed,8937,10999,Good,0,Ijarah,Equipment,373372,27266,12
206,Mariam,Male,21,Government,5003,8944,Good,0,Murabaha,Car,254903,14399,60
207,Sarah,Female,38,Government,12444,2348,Good,0,Murabaha,House,372875,46506,120
208,Ahmed,Male,34,Private,20050,3064,Good,12418,Ijarah,Equipment,270596,13530,60
209,Mariam,Female,46,Private,3986,6192,Average,36034,Murabaha,Equipment,123042,39498,48
210,Khadijah,Male,33,Private,14123,2448,Good,44226,Ijarah,Car,40711,35822,48
211,Aisha,Male,41,Self-employed,9326,10305,Good,33239,Ijarah,Equipment,214741,36249,60
212,Aisha,Female,29,Government,5999,14122,Good,0,Ijarah,Equipment,430696,6284,48
213,Aisha,Female,25,Government,6520,8214,Average,0,Murabaha,Car,230376,37332,36
214,Aisha,Female,26,Self-employed,6436,4293,Good,0,Murabaha,Equipment,361264,7148,48
215,Sarah,Female,33,Private,7820,14975,Good,0,Murabaha,House,123261,34264,240
216,Ali,Female,35,Private,22497,13855,Good,0,Murabaha,Car,51656,6011,84
217,Mariam,Male,28,Self-employed,17973,10600,Good,35012,Murabaha,House,464107,14586,120
218,Ahmed,Female,24,Private,17420,1123,Good,0,Ijarah,House,494625,5293,180
219,Fatimah,Female,25,Private,12114,3033,Good,0,Murabaha,Car,191856,43938,48
220,Aisha,Male,22,Self-employed,10874,5678,Good,6439,Ijarah,Car,157000,47472,48
221,Mohammed,Female,45,Government,20591,5652,Good,0,Ijarah,Equipment,115576,23745,24
222,Aisha,Female,57,Government,24966,8824,Good,0,Ijarah,Equipment,343816,21548,36
223,Aisha,Male,38,Government,8488,5832,Average,0,Ijarah,Car,230371,23517,36
224,Mohammed,Female,38,Self-employed,5814,5087,Good,0,Ijarah,Equipment,100142,24092,48
225,Sarah,Female,26,Government,19010,1645,Good,0,Murabaha,Equipment,130300,27908,48
226,Mohammed,Female,28,Self-employed,12542,4661,Good,0,Ijarah,Equipment,182487,43603,48
227,Mohammed,Male,50,Private,4529,5643,Poor,0,Ijarah,House,465095,46586,240
228,Sarah,Female,25,Self-employed,22656,3593,Good,42781,Ijarah,House,435204,45152,300
229,Mohammed,Male,39,Private,19199,3555,Good,0,Murabaha,Equipment,70722,20466,24
230,Ahmed,Female,25,Self-employed,13350,4538,Good,0,Ijarah,House,88424,34329,120
231,Aisha,Male,54,Self-employed,24171,5061,Average,24996,Ijarah,House,328077,14007,180
232,Ali,Female,46,Private,11986,10323,Good,0,Ijarah,Equipment,52475,37119,48
233,Sarah,Male,51,Private,14100,14026,Average,44405,Murabaha,Equipment,74306,6328,12
234,Fatimah,Male,32,Private,24896,11837,Average,1337,Murabaha,Car,396889,961,72
235,Sarah,Male,35,Government,16857,4990,Good,13871,Ijarah,Car,258090,5542,84
236,Khadijah,Male,51,Government,5118,6052,Average,0,Murabaha,House,187653,29642,120
237,Fatimah,Male,54,Self-employed,3629,10616,Average,0,Ijarah,Car,264293,31371,36
238,Khadijah,Male,26,Government,13789,7552,Good,0,Ijarah,Equipment,401037,19623,24
239,Mariam,Female,31,Self-employed,8335,7322,Good,0,Murabaha,Equipment,65353,46340,48
240,Mariam,Female,27,Self-employed,13863,5587,Average,10682,Ijarah,House,53100,11877,180
241,Sarah,Male,31,Government,13478,11248,Good,0,Ijarah,Equipment,357580,23909,12
242,Khadijah,Male,36,Government,8463,10668,Average,0,Murabaha,Car,264459,35787,72
243,Fatimah,Male,53,Government,20335,13645,Good,40725,Murabaha,Car,117102,46347,60
244,Ahmed,Male,35,Self-employed,3583,4085,Poor,11020,Murabaha,House,142783,28132,180
245,Sarah,Female,35,Private,5795,4062,Average,14759,Murabaha,House,482257,15666,180
246,Sarah,Male,42,Government,4754,2709,Good,1429,Ijarah,House,101837,8219,120
247,Mohammed,Female,30,Self-employed,3866,13270,Average,43833,Ijarah,House,446539,11319,240
248,Sarah,Female,58,Private,20450,12580,Good,0,Ijarah,Equipment,350883,894,12
249,Aisha,Male,47,Government,3142,5090,Good,0,Murabaha,Equipment,295680,16344,12
250,Mariam,Male,49,Private,23898,11972,Good,0,Ijarah,Car,210089,15455,84
251,Aisha,Female,30,Government,22219,1388,Good,0,Ijarah,Car,362916,45891,72
252,Sarah,Female,26,Government,12632,12682,Average,0,Ijarah,House,378106,44270,300
253,Mariam,Male,31,Private,21493,7109,Good,30129,Ijarah,House,204481,17328,240
254,Mariam,Male,44,Government,23416,4645,Poor,18024,Ijarah,House,399143,8902,300
255,Ahmed,Male,37,Self-employed,4067,11038,Good,0,Ijarah,Equipment,98659,34567,12
256,Mohammed,Female,46,Private,22753,3782,Good,14286,Ijarah,House,364465,48902,180
257,Ali,Female,56,Self-employed,17535,9399,Good,28912,Ijarah,House,189086,38002,120
258,Khadijah,Male,53,Self-employed,15067,10028,Good,0,Murabaha,House,307202,11878,240
259,Fatimah,Female,29,Government,6646,2046,Average,19775,Murabaha,House,106975,22161,120
260,Ali,Female,47,Government,20923,2573,Good,0,Ijarah,Equipment,428659,44055,12
261,Mohammed,Male,33,Self-employed,15297,2750,Average,24095,Murabaha,Equipment,288156,17644,48
262,Aisha,Male,59,Government,12218,3305,Good,0,Murabaha,Car,135252,30631,36
263,Aisha,Female,54,Government,16149,4690,Good,0,Murabaha,Car,371351,25611,72
264,Aisha,Female,58,Private,24034,6308,Good,0,Murabaha,Car,198013,29045,72
265,Ahmed,Male,24,Private,22236,12782,Average,26100,Ijarah,House,185083,22591,180
266,Mariam,Male,39,Government,9432,8109,Poor,6812,Murabaha,Equipment,338243,9595,24
267,Aisha,Male,36,Private,7521,4642,Good,0,Ijarah,Car,228837,39662,72
268,Fatimah,Male,56,Self-employed,21259,10990,Average,47698,Ijarah,Equipment,196058,1261,24
269,Khadijah,Male,49,Private,4631,7584,Good,0,Murabaha,Equipment,94675,10729,60
270,Sarah,Female,57,Self-employed,3113,13426,Good,0,Murabaha,Equipment,192072,19676,12
271,Sarah,Female,49,Private,15098,11770,Good,44478,Ijarah,House,492627,45730,300
272,Ali,Female,58,Self-employed,13078,2040,Average,0,Murabaha,House,399072,7007,120
273,Khadijah,Female,36,Private,16535,5672,Good,38697,Ijarah,House,238434,1338,180
274,Mohammed,Male,58,Private,9608,3618,Good,0,Ijarah,Equipment,405725,24119,24
275,Khadijah,Male,58,Self-employed,10128,5548,Good,0,Ijarah,Equipment,137019,17015,60
276,Ahmed,Male,49,Self-employed,6766,8488,Average,0,Ijarah,Car,345494,6930,36
277,Ali,Female,28,Private,13125,5671,Good,33158,Murabaha,Equipment,328322,34830,12
278,Ali,Female,54,Private,19070,1793,Good,15654,Murabaha,House,161900,9979,240
279,Ahmed,Female,46,Private,10428,5376,Good,28681,Murabaha,House,395147,6892,300
280,Khadijah,Male,37,Government,24260,12077,Average,35772,Ijarah,House,385865,11940,120
281,Aisha,Female,52,Private,24352,12923,Good,0,Ijarah,Car,259121,36520,48
282,Ahmed,Male,47,Self-employed,17686,5140,Good,2028,Ijarah,House,179287,20523,120
283,Aisha,Male,54,Government,17178,14695,Average,0,Ijarah,Equipment,484979,29114,12
284,Fatimah,Male,25,Government,18830,11556,Average,0,Ijarah,Car,143586,33475,72
285,Ahmed,Male,21,Private,12729,2985,Average,0,Murabaha,Car,355665,40289,48
286,Aisha,Male,32,Self-employed,24847,10085,Good,0,Murabaha,Equipment,434647,11313,60
287,Khadijah,Male,55,Government,18911,9741,Average,0,Murabaha,Car,427927,7004,36
288,Aisha,Female,46,Government,16598,13378,Average,0,Murabaha,House,271031,7840,300
289,Ahmed,Male,26,Government,6106,4707,Good,13277,Ijarah,Equipment,337815,10075,60
290,Mohammed,Male,42,Private,21829,6423,Average,0,Murabaha,Car,396649,9489,36
291,Sarah,Female,57,Government,21542,12203,Good,0,Murabaha,Equipment,473837,21573,12
292,Ahmed,Male,43,Private,21792,9979,Average,0,Murabaha,House,456668,33724,300
293,Sarah,Female,59,Government,24695,3582,Good,2170,Ijarah,Equipment,433986,20638,60
294,Ahmed,Female,44,Self-employed,22200,9190,Good,0,Murabaha,Car,120132,12549,84
295,Khadijah,Female,30,Self-employed,6605,12532,Average,0,Murabaha,Equipment,292248,3922,60
296,Fatimah,Male,46,Private,5273,3460,Poor,34683,Ijarah,Equipment,359245,36867,48
297,Fatimah,Male,47,Government,15297,1480,Good,20481,Murabaha,Car,173650,39332,36
298,Sarah,Female,23,Government,6526,7892,Good,0,Ijarah,Equipment,22844,2152,48
299,Mariam,Male,51,Private,5480,7958,Good,0,Murabaha,Car,183925,6350,48
300,Mariam,Male,52,Private,11537,5344,Average,0,Ijarah,Equipment,250449,21626,48
301,Khadijah,Female,39,Government,6281,3272,Average,0,Ijarah,House,176008,42013,120
302,Aisha,Female,48,Government,23676,5356,Good,27296,Ijarah,Equipment,416325,44658,24
303,Khadijah,Male,53,Private,9009,6003,Good,33023,Murabaha,Equipment,371226,36704,24
304,Mariam,Female,26,Private,15448,10888,Average,49885,Ijarah,Car,116392,30626,36
305,Khadijah,Female,49,Private,7839,9737,Good,0,Ijarah,House,214859,12452,180
306,Mohammed,Female,28,Private,10003,6470,Good,0,Ijarah,Car,69179,36531,48
307,Ali,Male,54,Self-employed,15560,1107,Average,48989,Murabaha,Equipment,128069,42576,60
308,Mariam,Male,28,Government,10594,4735,Good,0,Murabaha,Equipment,238122,40072,60
